relative_time,AccX,AccY,AccZ
0,6.358926544189454,6.203699340820313,4.826563110351563
56,5.6944583129882815,6.453230438232422,3.4540672302246094
123,6.2789927673339845,6.322552185058594,3.7285963439941407
190,5.366640014648437,7.2512210083007815,3.390150146484375
258,6.342311096191406,6.0834992980957034,5.87303695678711
323,5.290747833251953,6.003415832519532,5.65464111328125
390,5.801635437011719,6.3301863098144535,5.457501068115235
459,5.343587951660156,6.436764678955078,5.818101196289063
523,5.188360748291016,5.966742095947266,4.395010528564454
590,5.371280364990235,6.137985992431641,5.181175689697266
659,4.847519531250001,6.746021575927735,6.40952133178711
723,4.306544494628906,6.145769805908204,6.084547119140625
790,4.475842437744141,6.849905548095704,4.754712524414063
859,5.950725402832031,6.990313568115234,6.047124938964844
923,2.1459375,6.841373291015626,5.975424041748047
990,5.587730255126953,5.742807769775391,6.378685455322266
1059,4.508923645019531,6.885381774902344,8.173153839111329
1123,2.7729835510253906,7.047494659423829,3.750450897216797
1190,6.6595014953613285,6.7599426269531255,5.900130615234375
1259,3.916755065917969,6.64902328491211,5.661077728271485
1323,3.1555879211425784,6.670728149414063,6.568490753173829
1390,4.267475738525391,5.582491149902344,4.333488464355469
1459,3.3928445434570316,6.7473687744140625,5.879473571777344
1523,4.276606750488281,6.44305160522461,6.18678451538086
1590,4.733905792236328,7.013066253662109,6.407874755859376
1659,3.0984068298339844,7.036567382812501,6.949897613525391
1722,5.542224884033203,5.6398219299316406,5.600304107666016
1790,3.3810191345214844,6.599476318359375,7.104825439453125
1859,5.263354797363282,6.614295501708985,3.8408628845214845
1923,4.168232116699219,7.025640106201172,4.480632476806641
1990,4.7151947021484375,6.171516265869141,6.691983947753907
2059,3.6881803894042973,5.643713836669922,5.49462387084961
2123,5.424419860839844,5.178630981445313,6.914271697998047
2190,4.169429626464844,6.767726440429688,6.592740325927735
2260,2.525697784423828,6.662644958496094,4.395160217285157
2323,2.464325408935547,7.56586669921875,7.063810729980469
2390,3.0144314575195312,6.685996398925782,9.906399536132813
2459,3.5750157165527345,5.90417221069336,7.169341278076172
2523,2.655926971435547,7.330705718994141,9.90864486694336
2590,2.920726318359375,6.930438079833984,2.2423370361328128
2659,3.028352508544922,7.233707427978516,6.5168481445312505
2723,6.220913543701172,5.668262786865235,3.952979736328125
2790,5.1449510192871095,6.343358917236328,7.794141998291016
